id,name,quoteLatin,quoteJp,img
17,Julius Caesar,Experientia est omnium rerum magistra.,経験は万物の師である。,https://commons.wikimedia.org/wiki/File:Julius_Caesar_Bust_Naples.jpg
18,Marcus Aurelius,Perfer et obdura; dolor hic tibi proderit olim.,耐えよ、そして踏みとどまれ。この苦しみは、いつかお前の役に立つだろう。,https://commons.wikimedia.org/wiki/File:Marcus_Aurelius_Bust_Istanbul.jpg
19,Seneca the Younger,Vincit qui patitur.,耐える者が勝利する。,https://commons.wikimedia.org/wiki/File:Seneca_Berlin_Antikensammlung.jpg
20,Hannibal,Aut viam inveniam aut faciam.,道が見つからなければ、作ればいい。,https://commons.wikimedia.org/wiki/File:Hannibal_Bust_Naples.jpg
21,Tacitus,"Ratio et consilium, propriae ducis artes.",理性と判断力こそ、指導者固有の技能である。,https://commons.wikimedia.org/wiki/File:Tacitus_Bust_Vienna.jpg
22,Appius Claudius Caecus,Faber est suae quisque fortunae.,各人が自らの運命の製作者である。,https://commons.wikimedia.org/wiki/File:Appian_Way_Rome.jpg
23,Marcus Aurelius,Omnem actionem tamquam vitae ultimam perfice.,すべての行為を、人生最後の行為であるかのように実行せよ。,https://commons.wikimedia.org/wiki/File:Marcus_Aurelius_Bust_Istanbul.jpg
24,Julius Caesar,"Sine disciplina, non est victoria.",訓練なくして、勝利なし。,https://commons.wikimedia.org/wiki/File:Julius_Caesar_Bust_Naples.jpg
25,Publilius Syrus,Vincit qui se vincit.,自らに打ち勝つ者が、勝利する。,https://commons.wikimedia.org/wiki/File:Roman_Fresco_Pompeii.jpg
26,Seneca the Younger,"Non quia difficilia sunt non audemus, sed quia non audemus difficilia sunt.",物事が困難だから挑戦しないのではない。挑戦しないから、困難なのだ。,https://commons.wikimedia.org/wiki/File:Seneca_Berlin_Antikensammlung.jpg
27,Pliny the Elder,Nulla dies sine linea.,線を引かぬ日はない（一日も怠るな）。,https://commons.wikimedia.org/wiki/File:Pliny_the_Elder_Bust_Naples.jpg
28,Virgil,Labor omnia vincit.,労働はすべてに打ち勝つ。,https://commons.wikimedia.org/wiki/File:Virgil_Bust_Rome.jpg
29,Cicero,Salus populi suprema lex esto.,人民の安寧を最高の法とせよ。,https://commons.wikimedia.org/wiki/File:Cicero_Bust_Capitoline.jpg
30,Hadrian,"Quod tibi fieri non vis, alteri ne feceris.",己の欲せざるところ、人に施すことなかれ。,https://commons.wikimedia.org/wiki/File:Hadrian_Bust_Pergamon.jpg
31,Marcus Aurelius,Noli deesse tibi.,自分自身を見捨てるな。,https://commons.wikimedia.org/wiki/File:Marcus_Aurelius_Bust_Istanbul.jpg
32,Seneca the Younger,Dum spiro spero.,息をする限り、私は希望を持つ。,https://commons.wikimedia.org/wiki/File:Seneca_Berlin_Antikensammlung.jpg
33,Horace,Nil volentibus arduum.,志ある者にとって、困難なことは何もない。,https://commons.wikimedia.org/wiki/File:Horace_Engraving.jpg
34,Probus,"Brevi, si vita suppeditat, omnes milites divites faciam.",もし命が続くなら、私は間もなく全ての兵士を富ませるだろう。,https://commons.wikimedia.org/wiki/File:Probus_Coin_Rome.jpg
35,Pliny the Younger,"Gloria enim lausque factorum egregiorum, non est præmium, sed umbra virtutis.",栄光とは、優れた行いへの報酬ではなく、ウィルトゥス（徳）の影なのである。,https://commons.wikimedia.org/wiki/File:Pliny_the_Younger_Bust_Como.jpg
36,Marcus Aurelius,"In te ipso est fons boni, qui semper manare potest, si semper foderis.",善の泉は汝自身のうちにある。汝が常に掘り下げさえすれば、常に湧き出るだろう。,https://commons.wikimedia.org/wiki/File:Marcus_Aurelius_Bust_Istanbul.jpg
37,Julius Caesar,Malo hic primus esse quam Romae secundus.,ローマで二番目であるよりは、ここで一番でありたい。,https://commons.wikimedia.org/wiki/File:Julius_Caesar_Bust_Naples.jpg
38,Proverb,Perfer et obdura.,耐えよ、そして踏みとどまれ。,https://commons.wikimedia.org/wiki/File:Pont_du_Gard_Roman_Aqueduct.jpg
39,Hadrian,Libri mihi prima patria fuerunt.,私にとって最初の故郷は書物であった。,https://commons.wikimedia.org/wiki/File:Hadrian_Bust_Pergamon.jpg
40,Cicero,Stultum est timere quod vitare non potes.,避けることのできないものを恐れるのは愚かである。,https://commons.wikimedia.org/wiki/File:Cicero_Bust_Capitoline.jpg
