id,name,quoteLatin,quoteJp,img
1,Marcus Aurelius,Quod tibi molestum est ne aliis facias.,自分が嫌だと思うことを他人にしてはならない。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
2,Marcus Aurelius,Mente regit corpus.,心が身体を支配する。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
3,Marcus Aurelius,Omnem actionem tamquam vitae ultimam perfice.,すべての行為を、人生最後の行為であるかのように実行せよ。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
4,Marcus Aurelius,In te ipso est fons boni qui semper manare potest.,善の泉は汝自身のうちにある。汝が常に掘り下げさえすれば、常に湧き出るだろう。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
5,Marcus Aurelius,Noli deesse tibi.,自分自身を見捨てるな。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
6,Marcus Aurelius,Disciplina est animae cibus.,規律は魂の食物である。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
7,Marcus Aurelius,Qui ignorat sese ignorat omnia.,自分を知らない者は、すべてを知らない。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
8,Marcus Aurelius,Quotidie disce aliquid novi.,毎日何か新しいことを学べ。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
9,Marcus Aurelius,Vera sapientia in silentio nascitur.,真の知恵は静寂の中に生まれる。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
10,Marcus Aurelius,Labor omnia vincit improbus.,不屈の努力はすべてに勝利する。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
11,Seneca the Younger,Vincit qui patitur.,耐える者が勝利する。,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg/120px-Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg
12,Seneca the Younger,Non quia difficilia sunt non audemus sed quia non audemus difficilia sunt.,物事が困難だから挑戦しないのではない。挑戦しないから、困難なのだ。,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg/120px-Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg
13,Seneca the Younger,Dum spiro spero.,息をする限り、私は希望を持つ。,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg/120px-Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg
14,Seneca the Younger,Docendo discimus.,教えることによって私たちは学ぶ。,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg/120px-Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg
15,Seneca the Younger,Errare humanum est perseverare autem diabolicum.,間違うことは人間的だが、固執することは悪魔的だ。,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg/120px-Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg
16,Seneca the Younger,Omnis nova res molesta est.,すべての新しいことは困難である。,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg/120px-Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg
17,Seneca the Younger,Studium sine labore vanum est.,努力なしの勉強は無駄である。,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg/120px-Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg
18,Seneca the Younger,Gutta cavat lapidem non vi sed saepe cadendo.,水滴は力によってではなく、絶え間なく落ちることで石を穿つ。,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg/120px-Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg
19,Seneca the Younger,Vitia sua nemo sine magistro discit.,誰も師なしに自らの欠点を学ぶことはできない。,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg/120px-Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg
20,Seneca the Younger,Tempus edax rerum.,時は万物を食い尽くす。,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg/120px-Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg
21,Julius Caesar,Experientia docet optima magistra.,経験は最良の教師である。,https://upload.wikimedia.org/wikipedia/commons/f/fd/Arte_romana%2C_Busto_di_Giulio_Cesare%2C_da_un_originale_del_I_secolo_a.C.jpg
22,Julius Caesar,Malo hic primus esse quam Romae secundus.,ローマで二番目であるよりは、ここで一番でありたい。,https://upload.wikimedia.org/wikipedia/commons/f/fd/Arte_romana%2C_Busto_di_Giulio_Cesare%2C_da_un_originale_del_I_secolo_a.C.jpg
23,Julius Caesar,Sine disciplina non est victoria.,訓練なくして、勝利なし。,https://upload.wikimedia.org/wikipedia/commons/f/fd/Arte_romana%2C_Busto_di_Giulio_Cesare%2C_da_un_originale_del_I_secolo_a.C.jpg
24,Julius Caesar,Victoria pertinacibus est.,勝利は粘り強い者のものである。,https://upload.wikimedia.org/wikipedia/commons/f/fd/Arte_romana%2C_Busto_di_Giulio_Cesare%2C_da_un_originale_del_I_secolo_a.C.jpg
25,Julius Caesar,Fortuna audaces iuvat.,幸運は勇敢な者を助ける。,https://upload.wikimedia.org/wikipedia/commons/f/fd/Arte_romana%2C_Busto_di_Giulio_Cesare%2C_da_un_originale_del_I_secolo_a.C.jpg
26,Julius Caesar,Labor et constantia.,労働と忍耐。,https://upload.wikimedia.org/wikipedia/commons/f/fd/Arte_romana%2C_Busto_di_Giulio_Cesare%2C_da_un_originale_del_I_secolo_a.C.jpg
