id,name,quoteLatin,quoteJp,img
17,Julius Caesar,Experientia est omnium rerum magistra.,経験は万物の師である。,https://upload.wikimedia.org/wikipedia/commons/f/fd/Arte_romana%2C_Busto_di_Giulio_Cesare%2C_da_un_originale_del_I_secolo_a.C.jpg
18,Marcus Aurelius,Perfer et obdura; dolor hic tibi proderit olim.,耐えよ、そして踏みとどまれ。この苦しみは、いつかお前の役に立つだろう。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
19,Seneca the Younger,Vincit qui patitur.,耐える者が勝利する。,https://upload.wikimedia.org/wikipedia/commons/c/ca/Bust_of_Seneca_Wellcome_M0005621.jpg
20,Hannibal,Aut viam inveniam aut faciam.,道が見つからなければ、作ればいい。,https://upload.wikimedia.org/wikipedia/commons/e/ef/Annibale_busto_marmoreo_cat_124_capitolini.JPG
21,Tacitus,"Ratio et consilium, propriae ducis artes.",理性と判断力こそ、指導者固有の技能である。,https://upload.wikimedia.org/wikipedia/commons/9/9c/Roman_Marble_Bust_of_Emperor_Tacitus%2C_275-276_AD_%2828026024160%29.jpg
22,Appius Claudius Caecus,Faber est suae quisque fortunae.,各人が自らの運命の製作者である。,https://upload.wikimedia.org/wikipedia/commons/1/1f/Appio_Claudio_Cieco_in_Senato.jpg
23,Marcus Aurelius,Omnem actionem tamquam vitae ultimam perfice.,すべての行為を、人生最後の行為であるかのように実行せよ。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
24,Julius Caesar,"Sine disciplina, non est victoria.",訓練なくして、勝利なし。,https://upload.wikimedia.org/wikipedia/commons/f/fd/Arte_romana%2C_Busto_di_Giulio_Cesare%2C_da_un_originale_del_I_secolo_a.C.jpg
25,Publilius Syrus,Vincit qui se vincit.,自らに打ち勝つ者が、勝利する。,https://upload.wikimedia.org/wikipedia/commons/e/e3/Malum_consilium_est%2C_quod_mutari_potest._Publilius_Syrus%2C_85-43_AC_-_en.svg
26,Seneca the Younger,"Non quia difficilia sunt non audemus, sed quia non audemus difficilia sunt.",物事が困難だから挑戦しないのではない。挑戦しないから、困難なのだ。,https://upload.wikimedia.org/wikipedia/commons/c/ca/Bust_of_Seneca_Wellcome_M0005621.jpg
27,Pliny the Elder,Nulla dies sine linea.,線を引かぬ日はない（一日も怠るな）。,https://upload.wikimedia.org/wikipedia/commons/e/e4/Pliny_the_Elder_-_Ny_Carlsberg_Glyptotek.jpg
28,Virgil,Labor omnia vincit.,労働はすべてに打ち勝つ。,https://upload.wikimedia.org/wikipedia/commons/9/97/Virgil_from_Convent_Maison_de_Dieu%2C_France.jpg
29,Cicero,Salus populi suprema lex esto.,人民の安寧を最高の法とせよ。,https://upload.wikimedia.org/wikipedia/commons/b/b6/M_M_T_Cicero.jpg
30,Hadrian,"Quod tibi fieri non vis, alteri ne feceris.",己の欲せざるところ、人に施すことなかれ。,https://upload.wikimedia.org/wikipedia/commons/7/7e/Bust_Hadrian_Glyptothek_Cs102.jpg
31,Marcus Aurelius,Noli deesse tibi.,自分自身を見捨てるな。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
32,Seneca the Younger,Dum spiro spero.,息をする限り、私は希望を持つ。,https://upload.wikimedia.org/wikipedia/commons/c/ca/Bust_of_Seneca_Wellcome_M0005621.jpg
33,Horace,Nil volentibus arduum.,志ある者にとって、困難なことは何もない。,https://upload.wikimedia.org/wikipedia/commons/7/7d/Quinto_Orazio_Flacco.png
34,Probus,"Brevi, si vita suppeditat, omnes milites divites faciam.",もし命が続くなら、私は間もなく全ての兵士を富ませるだろう。,https://upload.wikimedia.org/wikipedia/commons/b/b6/Emperor_Probus.jpg
35,Pliny the Younger,"Gloria enim lausque factorum egregiorum, non est præmium, sed umbra virtutis.",栄光とは、優れた行いへの報酬ではなく、ウィルトゥス（徳）の影なのである。,https://upload.wikimedia.org/wikipedia/commons/7/7c/Plinius_minor.jpg
36,Marcus Aurelius,"In te ipso est fons boni, qui semper manare potest, si semper foderis.",善の泉は汝自身のうちにある。汝が常に掘り下げさえすれば、常に湧き出るだろう。,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Aurelius_marble_bust_%283x4_cropped%29.jpg
37,Julius Caesar,Malo hic primus esse quam Romae secundus.,ローマで二番目であるよりは、ここで一番でありたい。,https://upload.wikimedia.org/wikipedia/commons/f/fd/Arte_romana%2C_Busto_di_Giulio_Cesare%2C_da_un_originale_del_I_secolo_a.C.jpg
38,Proverb,Perfer et obdura.,耐えよ、そして踏みとどまれ。,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Pont_du_Gard_Okt_2007.jpg/640px-Pont_du_Gard_Okt_2007.jpg
39,Hadrian,Libri mihi prima patria fuerunt.,私にとって最初の故郷は書物であった。,https://upload.wikimedia.org/wikipedia/commons/7/7e/Bust_Hadrian_Glyptothek_Cs102.jpg
40,Cicero,Stultum est timere quod vitare non potes.,避けることのできないものを恐れるのは愚かである。,https://upload.wikimedia.org/wikipedia/commons/b/b6/M_M_T_Cicero.jpg
