id,name,quoteLatin,quoteEn,quoteJp,img
1,Augustus,Festina lente.,Make haste slowly.,ゆっくり急げ（急がば回れ）,https://upload.wikimedia.org/wikipedia/commons/e/eb/Statue-Augustus.jpg
2,Marcus Aurelius,"Confine yourself to the present.",Focus on the present moment.,今この瞬間に集中せよ,https://upload.wikimedia.org/wikipedia/commons/5/5a/Marcus_Aurelius_Glyptothek_Munich_337.jpg
3,Marcus Aurelius,"What we do now echoes in eternity.",What we do now echoes in eternity.,今我々が行うことは永遠に響き渡る,https://upload.wikimedia.org/wikipedia/commons/5/5a/Marcus_Aurelius_Glyptothek_Munich_337.jpg
4,Marcus Aurelius,"The impediment to action advances action. What stands in the way becomes the way.","The obstacle is the way.",障害こそが道となる,https://upload.wikimedia.org/wikipedia/commons/5/5a/Marcus_Aurelius_Glyptothek_Munich_337.jpg
5,Marcus Aurelius,"You have power over your mind - not outside events. Realize this, and you will find strength.","You have power over your mind, not outside events.",支配できるのは自分の心であって、外の出来事ではない,https://upload.wikimedia.org/wikipedia/commons/5/5a/Marcus_Aurelius_Glyptothek_Munich_337.jpg
6,Hadrian,"Animula vagula blandula...","Little soul, wandering and charming...",さすらいの小さな魂よ、前進せよ,https://upload.wikimedia.org/wikipedia/commons/4/4b/Bust_Hadrian_MET_DP166884.jpg
7,Trajan,"Optimus princeps.","The best leader serves.",最良の指導者は奉仕する者である,https://upload.wikimedia.org/wikipedia/commons/8/8b/Bust_of_Trajan_Glyptothek.jpg
8,Antoninus Pius,"Aequanimitas.","Maintain equanimity in all things.",すべてにおいて平静を保て,https://upload.wikimedia.org/wikipedia/commons/2/28/Antoninus_Pius_bust_Glyptothek_Munich_337.jpg
9,Marcus Aurelius,"Waste no more time arguing what a good man should be. Be one.","Stop debating what a good person is. Be one.",善人とは何かを議論するな。善人になれ,https://upload.wikimedia.org/wikipedia/commons/5/5a/Marcus_Aurelius_Glyptothek_Munich_337.jpg
10,Marcus Aurelius,"The best revenge is not to be like your enemy.","The best revenge is not to be like your enemy.",最高の復讐は敵のようにならないことだ,https://upload.wikimedia.org/wikipedia/commons/5/5a/Marcus_Aurelius_Glyptothek_Munich_337.jpg
11,Augustus,"Acta est fabula.","The play is over. Time for applause.",劇は終わった。さあ拍手を,https://upload.wikimedia.org/wikipedia/commons/e/eb/Statue-Augustus.jpg
12,Marcus Aurelius,"Difficilis in otio quies.","True rest is found in purposeful action.",真の休息は目的ある行動の中にある,https://upload.wikimedia.org/wikipedia/commons/5/5a/Marcus_Aurelius_Glyptothek_Munich_337.jpg
