id,name,quoteLatin,quoteEn,quoteJp,img
1,Marcus Aurelius,Quod obstat viae fit via.,The impediment to action advances action – what stands in the way becomes the way.,行動を阻むものは行動を促進する。道を妨げるものが道そのものになる。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
2,Marcus Aurelius,,"If it is not right, do not do it; if it is not true, do not say it.",それが正しくないのなら行うな。真実でないのなら口にするな。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
3,Marcus Aurelius,,Waste no more time arguing about what a good man should be. Be one.,「善い人間とは何か」を議論して時間を無駄にするな。ただ善い人間であれ。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
4,Marcus Aurelius,,The happiness of your life depends upon the quality of your thoughts.,あなたの人生の幸福は、あなたの思考の質にかかっている。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
5,Marcus Aurelius,,"You have power over your mind – not outside events. Realize this, and you will find strength.",自分の心を支配する力はあるが、外の出来事を支配する力はない。それに気づけば、そこにこそ強さがある。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
6,Marcus Aurelius,,"It is not death that a man should fear, but he should fear never beginning to live.",人が恐れるべきは死ではなく、生き始めないことである。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
7,Marcus Aurelius,,Perform every act in life as though it were your last.,人生のあらゆる行為を、それが最後であるかのように遂行せよ。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
8,Marcus Aurelius,,The best revenge is to be unlike him who performed the injustice.,最上の復讐は、不正を行った者と自分が似た存在にならないことである。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
9,Marcus Aurelius,,Think of yourself as dead. You have lived your life. Now take what's left and live it properly.,自分自身をすでに死んだ者だと考えよ。残された時間を正しく生きよ。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
10,Marcus Aurelius,,"Very little is needed to make a happy life; it is all within yourself, in your way of thinking.",幸福な人生に必要なものはごくわずかだ。それはすべて自分の中、自分の考え方にある。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
11,Marcus Aurelius,,The universe is change; our life is what our thoughts make it.,宇宙は変化そのものだ。我々の人生は思考がそれを形作る。,https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg
