id,name,quoteLatin,quoteJp,img
1,Julius Caesar,Experientia est omnium rerum magistra.,経験は万物の師である。,https://upload.wikimedia.org/wikipedia/commons/9/97/Bust_of_Julius_Caesar_British_Museum.jpg
2,Marcus Aurelius,Perfer et obdura; dolor hic tibi proderit olim.,耐えよ、そして踏みとどまれ。この苦しみは、いつかお前の役に立つだろう。,https://upload.wikimedia.org/wikipedia/commons/6/67/Marcus_Aurelius_%28bust%29.jpg
3,Seneca the Younger,Vincit qui patitur.,耐える者が勝利する。,https://upload.wikimedia.org/wikipedia/commons/e/e1/Pseudo-Seneca_MAN_Napoli_Inv_5616_n01.jpg
4,Hannibal,Aut viam inveniam aut faciam.,道が見つからなければ、作ればいい。,https://upload.wikimedia.org/wikipedia/commons/6/67/Buste_Hannibal_Barca_%28cropped%29.jpg
5,Tacitus,"Ratio et consilium, propriae ducis artes.",理性と判断力こそ、指導者固有の技能である。,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Cornelius_Tacitus_bearded_bust.jpg/482px-Cornelius_Tacitus_bearded_bust.jpg
6,Appius Claudius Caecus,Faber est suae quisque fortunae.,各人が自らの運命の製作者である。,https://upload.wikimedia.org/wikipedia/commons/d/d8/Roman_Forum_in_Rome%2C_Italy_-_April_2007.jpg
7,Marcus Aurelius,Omnem actionem tamquam vitae ultimam perfice.,すべての行為を、人生最後の行為であるかのように実行せよ。,https://upload.wikimedia.org/wikipedia/commons/c/ce/Marcus_Aurelius_Metropolitan_Museum.png
8,Julius Caesar,"Sine disciplina, non est victoria.",訓練なくして、勝利なし。,https://upload.wikimedia.org/wikipedia/commons/9/97/Bust_of_Julius_Caesar_British_Museum.jpg
9,Publilius Syrus,Vincit qui se vincit.,自らに打ち勝つ者が、勝利する。,https://upload.wikimedia.org/wikipedia/commons/2/28/Synopsis_of_the_senteces_%28Sententiae_-_Publilius_Syrus%29.PNG
10,Seneca the Younger,"Non quia difficilia sunt non audemus, sed quia non audemus difficilia sunt.",物事が困難だから挑戦しないのではない。挑戦しないから、困難なのだ。,https://upload.wikimedia.org/wikipedia/commons/d/d5/Bust_of_Seneca_Wellcome_M0005621.jpg
11,Pliny the Elder,Nulla dies sine linea.,線を引かぬ日はない（一日も怠るな）。,https://upload.wikimedia.org/wikipedia/commons/b/b3/Como_-_Dome_-_Facade_-_Plinius_the_Elder.jpg
12,Virgil,Labor omnia vincit.,労働はすべてに打ち勝つ。,https://upload.wikimedia.org/wikipedia/commons/c/c8/Mosaic_in_the_Mus%C3%A9e_National_du_Bardo_in_Tunis_of_the_poet_Virgil_%283rd_century_AD%29.jpg
13,Cicero,Salus populi suprema lex esto.,人民の安寧を最高の法とせよ。,https://upload.wikimedia.org/wikipedia/commons/4/40/Cicero_-_Musei_Capitolini.JPG
14,Hadrian,"Quod tibi fieri non vis, alteri ne feceris.",己の欲せざるところ、人に施すことなかれ。,https://upload.wikimedia.org/wikipedia/commons/b/b5/Hadrian%2C_Roman_emperor_117-38%2C_Ny_Carlsberg_Glyptotek%2C_Copenhagen_%2836023743600%29.jpg
15,Marcus Aurelius,Noli deesse tibi.,自分自身を見捨てるな。,https://upload.wikimedia.org/wikipedia/commons/e/e4/EAM_-_Bust_of_Marcus_Aurelius.jpg
16,Seneca the Younger,Dum spiro spero.,息をする限り、私は希望を持つ。,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Bust_of_Seneca%2C_Summer_Garden%2C_St._Petersburg.jpg/800px-Bust_of_Seneca%2C_Summer_Garden%2C_St._Petersburg.jpg
17,Horace,Nil volentibus arduum.,志ある者にとって、困難なことは何もない。,https://upload.wikimedia.org/wikipedia/commons/7/75/Horace.jpg
18,Probus,"Brevi, si vita suppeditat, omnes milites divites faciam.",もし命が続くなら、私は間もなく全ての兵士を富ませるだろう。,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Ancient_Roman_Coin_Depicting_Emperor_Probus.jpg/800px-Ancient_Roman_Coin_Depicting_Emperor_Probus.jpg
19,Pliny the Younger,"Gloria enim lausque factorum egregiorum, non est præmium, sed umbra virtutis.",栄光とは、優れた行いへの報酬ではなく、ウィルトゥス（徳）の影なのである。,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Pliny_the_Younger_bust_in_Como.jpg/800px-Pliny_the_Younger_bust_in_Como.jpg
20,Marcus Aurelius,"In te ipso est fons boni, qui semper manare potest, si semper foderis.",善の泉は汝自身のうちにある。汝が常に掘り下げさえすれば、常に湧き出るだろう。,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Bust_marcus_aurelius.jpg/504px-Bust_marcus_aurelius.jpg
21,Julius Caesar,Malo hic primus esse quam Romae secundus.,ローマで二番目であるよりは、ここで一番でありたい。,https://upload.wikimedia.org/wikipedia/commons/9/97/Bust_of_Julius_Caesar_British_Museum.jpg
22,Proverb,Perfer et obdura.,耐えよ、そして踏みとどまれ。,https://upload.wikimedia.org/wikipedia/commons/6/6c/Romersk-katolska_kapellet%2C_Norra_begravningsplatsen_04.jpg
23,Hadrian,Libri mihi prima patria fuerunt.,私にとって最初の故郷は書物であった。,https://upload.wikimedia.org/wikipedia/commons/b/b5/Hadrian%2C_Roman_emperor_117-38%2C_Ny_Carlsberg_Glyptotek%2C_Copenhagen_%2836023743600%29.jpg
24,Cicero,Stultum est timere quod vitare non potes.,避けることのできないものを恐れるのは愚かである。,https://upload.wikimedia.org/wikipedia/commons/4/40/Cicero_-_Musei_Capitolini.JPG
