id,name,quoteLatin,quoteJp,img
1,Marcus Aurelius,Quod tibi molestum est ne aliis facias.,自分が嫌だと思うことを他人にしてはならない。,/images/emperors/marcus_aurelius.jpg
2,Marcus Aurelius,Mente regit corpus.,心が身体を支配する。,/images/emperors/marcus_aurelius.jpg
3,Marcus Aurelius,Omnem actionem tamquam vitae ultimam perfice.,すべての行為を、人生最後の行為であるかのように実行せよ。,/images/emperors/marcus_aurelius.jpg
4,Marcus Aurelius,In te ipso est fons boni qui semper manare potest.,善の泉は汝自身のうちにある。汝が常に掘り下げさえすれば、常に湧き出るだろう。,/images/emperors/marcus_aurelius.jpg
5,Marcus Aurelius,Noli deesse tibi.,自分自身を見捨てるな。,/images/emperors/marcus_aurelius.jpg
6,Marcus Aurelius,Disciplina est animae cibus.,規律は魂の食物である。,/images/emperors/marcus_aurelius.jpg
7,Marcus Aurelius,Qui ignorat sese ignorat omnia.,自分を知らない者は、すべてを知らない。,/images/emperors/marcus_aurelius.jpg
8,Marcus Aurelius,Quotidie disce aliquid novi.,毎日何か新しいことを学べ。,/images/emperors/marcus_aurelius.jpg
9,Marcus Aurelius,Vera sapientia in silentio nascitur.,真の知恵は静寂の中に生まれる。,/images/emperors/marcus_aurelius.jpg
10,Marcus Aurelius,Labor omnia vincit improbus.,不屈の努力はすべてに勝利する。,/images/emperors/marcus_aurelius.jpg
11,Seneca the Younger,Vincit qui patitur.,耐える者が勝利する。,/images/emperors/seneca.jpg
12,Seneca the Younger,Non quia difficilia sunt non audemus sed quia non audemus difficilia sunt.,物事が困難だから挑戦しないのではない。挑戦しないから、困難なのだ。,/images/emperors/seneca.jpg
13,Seneca the Younger,Dum spiro spero.,息をする限り、私は希望を持つ。,/images/emperors/seneca.jpg
14,Seneca the Younger,Docendo discimus.,教えることによって私たちは学ぶ。,/images/emperors/seneca.jpg
15,Seneca the Younger,Errare humanum est perseverare autem diabolicum.,間違うことは人間的だが、固執することは悪魔的だ。,/images/emperors/seneca.jpg
16,Seneca the Younger,Omnis nova res molesta est.,すべての新しいことは困難である。,/images/emperors/seneca.jpg
17,Seneca the Younger,Studium sine labore vanum est.,努力なしの勉強は無駄である。,/images/emperors/seneca.jpg
18,Seneca the Younger,Gutta cavat lapidem non vi sed saepe cadendo.,水滴は力によってではなく、絶え間なく落ちることで石を穿つ。,/images/emperors/seneca.jpg
19,Seneca the Younger,Vitia sua nemo sine magistro discit.,誰も師なしに自らの欠点を学ぶことはできない。,/images/emperors/seneca.jpg
20,Seneca the Younger,Tempus edax rerum.,時は万物を食い尽くす。,/images/emperors/seneca.jpg
21,Julius Caesar,Experientia docet optima magistra.,経験は最良の教師である。,/images/emperors/julius_caesar.jpg
22,Julius Caesar,Malo hic primus esse quam Romae secundus.,ローマで二番目であるよりは、ここで一番でありたい。,/images/emperors/julius_caesar.jpg
23,Julius Caesar,Sine disciplina non est victoria.,訓練なくして、勝利なし。,/images/emperors/julius_caesar.jpg
24,Julius Caesar,Victoria pertinacibus est.,勝利は粘り強い者のものである。,/images/emperors/julius_caesar.jpg
25,Julius Caesar,Fortuna audaces iuvat.,幸運は勇敢な者を助ける。,/images/emperors/julius_caesar.jpg
26,Julius Caesar,Labor et constantia.,労働と忍耐。,/images/emperors/julius_caesar.jpg
27,Julius Caesar,Audentes fortuna iuvat.,勇敢な者を運は助ける。,/images/emperors/julius_caesar.jpg
28,Julius Caesar,Per aspera ad astra.,困難を通して星々へ。,/images/emperors/julius_caesar.jpg
29,Julius Caesar,Acta non verba.,言葉ではなく行動を。,/images/emperors/julius_caesar.jpg
30,Julius Caesar,Mens sana in corpore sano.,健全な精神は健全な身体に宿る。,/images/emperors/julius_caesar.jpg
31,Cicero,Salus populi suprema lex esto.,人民の安寧を最高の法とせよ。,/images/emperors/cicero.jpg
32,Cicero,Stultum est timere quod vitare non potes.,避けることのできないものを恐れるのは愚かである。,/images/emperors/cicero.jpg
33,Cicero,Vivendum est mihi tam diu quam diu possunt.,できる限り生きねばならない。,/images/emperors/cicero.jpg
34,Cicero,Non scholae sed vitae discimus.,学校のためではなく人生のために学ぶ。,/images/emperors/cicero.jpg
35,Cicero,Memoria est thesaurus omnium rerum.,記憶はすべてのものの宝庫である。,/images/emperors/cicero.jpg
36,Cicero,Consuetudo quasi altera natura.,習慣は第二の天性である。,/images/emperors/cicero.jpg
37,Cicero,Diligentia maximum etiam mediocris ingeni subsidium.,勤勉さは平凡な才能の最大の助けである。,/images/emperors/cicero.jpg
38,Cicero,Ignorantia legis neminem excusat.,法の無知は誰をも許さない。,/images/emperors/cicero.jpg
39,Cicero,Historia est testis temporum.,歴史は時代の証人である。,/images/emperors/cicero.jpg
40,Cicero,Sapientia est rerum divinarum et humanarum scientia.,知恵とは神的なものと人間的なものの知識である。,/images/emperors/cicero.jpg
41,Hadrian,Quod tibi fieri non vis alteri ne feceris.,己の欲せざるところ、人に施すことなかれ。,/images/emperors/hadrian.jpg
42,Hadrian,Libri mihi prima patria fuerunt.,私にとって最初の故郷は書物であった。,/images/emperors/hadrian.jpg
43,Hadrian,Studia adolescentiam alunt.,学問は青春を養う。,/images/emperors/hadrian.jpg
44,Hadrian,Animi cultus quasi quidam humanitatis cibus.,心の修養は人間性の食物のようなものである。,/images/emperors/hadrian.jpg
45,Hadrian,Diligentia maximi facienda est.,勤勉さを最も重要視すべきである。,/images/emperors/hadrian.jpg
46,Virgil,Labor omnia vincit.,労働はすべてに打ち勝つ。,/images/emperors/virgil.jpg
47,Virgil,Audentes fortuna iuvat.,運は勇者を助ける。,/images/emperors/virgil.jpg
48,Virgil,Amor vincit omnia.,愛はすべてに勝つ。,/images/emperors/virgil.jpg
49,Virgil,Possunt quia posse videntur.,できると思う者にはできる。,/images/emperors/virgil.jpg
50,Virgil,Fama volat.,うわさは飛ぶ。,/images/emperors/virgil.jpg
51,Horace,Nil volentibus arduum.,志ある者にとって、困難なことは何もない。,/images/emperors/horace.jpg
52,Horace,Carpe diem.,その日を摘め（今を生きよ）。,/images/emperors/horace.jpg
53,Horace,Sapere aude.,敢えて賢くあれ。,/images/emperors/horace.jpg
